Sample_ID,Milk_Status,Storage_Condition,Age_Hours,Temperature_C,Est_Fat_Percent,Predicted_pH,Frequency_Hz,Impedance_Ohms,Phase_Angle_Deg,Bio_Impedance_Ratio,Hrs_Until_Ruined_Without_Fridge,Hrs_Until_Ruined_With_Fridge
PURE_0,Pure_Milk,Room_Temp,4.0,23.7,5.34,6.7,1000,556.01,-15.12,0.8,2.0,55.9
PURE_0,Pure_Milk,Room_Temp,4.0,23.7,5.34,6.7,5000,514.83,-17.24,0.8,2.0,55.9
PURE_0,Pure_Milk,Room_Temp,4.0,23.7,5.34,6.7,10000,502.85,-18.43,0.8,2.0,55.9
PURE_0,Pure_Milk,Room_Temp,4.0,23.7,5.34,6.7,50000,463.23,-19.41,0.8,2.0,55.9
PURE_0,Pure_Milk,Room_Temp,4.0,23.7,5.34,6.7,100000,446.32,-20.43,0.8,2.0,55.9
PURE_1,Pure_Milk,Room_Temp,0.8,24.2,4.1,6.69,1000,536.73,-14.4,0.8,5.2,146.1
PURE_1,Pure_Milk,Room_Temp,0.8,24.2,4.1,6.69,5000,505.5,-16.35,0.8,5.2,146.1
PURE_1,Pure_Milk,Room_Temp,0.8,24.2,4.1,6.69,10000,484.43,-18.02,0.8,5.2,146.1
PURE_1,Pure_Milk,Room_Temp,0.8,24.2,4.1,6.69,50000,445.39,-18.3,0.8,5.2,146.1
PURE_1,Pure_Milk,Room_Temp,0.8,24.2,4.1,6.69,100000,430.97,-20.64,0.8,5.2,146.1
PURE_2,Pure_Milk,Room_Temp,3.4,25.4,5.5,6.62,1000,538.8,-15.41,0.8,2.6,71.5
PURE_2,Pure_Milk,Room_Temp,3.4,25.4,5.5,6.62,5000,502.47,-15.22,0.8,2.6,71.5
PURE_2,Pure_Milk,Room_Temp,3.4,25.4,5.5,6.62,10000,487.72,-18.89,0.8,2.6,71.5
PURE_2,Pure_Milk,Room_Temp,3.4,25.4,5.5,6.62,50000,444.89,-20.29,0.8,2.6,71.5
PURE_2,Pure_Milk,Room_Temp,3.4,25.4,5.5,6.62,100000,433.3,-19.68,0.8,2.6,71.5
PURE_3,Pure_Milk,Room_Temp,0.5,23.8,3.14,6.66,1000,527.26,-15.72,0.8,5.5,153.1
PURE_3,Pure_Milk,Room_Temp,0.5,23.8,3.14,6.66,5000,492.24,-15.69,0.8,5.5,153.1
PURE_3,Pure_Milk,Room_Temp,0.5,23.8,3.14,6.66,10000,477.88,-19.26,0.8,5.5,153.1
PURE_3,Pure_Milk,Room_Temp,0.5,23.8,3.14,6.66,50000,440.78,-19.63,0.8,5.5,153.1
PURE_3,Pure_Milk,Room_Temp,0.5,23.8,3.14,6.66,100000,422.82,-19.39,0.8,5.5,153.1
PURE_4,Pure_Milk,Refrigerated,2.7,2.8,5.13,6.74,1000,783.53,-14.83,0.8,5.9,165.3
PURE_4,Pure_Milk,Refrigerated,2.7,2.8,5.13,6.74,5000,728.79,-16.51,0.8,5.9,165.3
PURE_4,Pure_Milk,Refrigerated,2.7,2.8,5.13,6.74,10000,703.58,-16.34,0.8,5.9,165.3
PURE_4,Pure_Milk,Refrigerated,2.7,2.8,5.13,6.74,50000,648.76,-20.02,0.8,5.9,165.3
PURE_4,Pure_Milk,Refrigerated,2.7,2.8,5.13,6.74,100000,628.13,-18.77,0.8,5.9,165.3
PURE_5,Pure_Milk,Refrigerated,76.9,5.5,4.42,6.24,1000,742.29,-14.2,0.8,3.3,91.1
