Timestamp,Raw_ADC,Impedance_Ohms,Adulteration_Type,Accuracy_Pct,Real_Time_pH,Safety_Score,Fat_Pct,Action_Directive,Countertop_Timer_Hrs,Fridge_Timer_Hrs
2026-09-01 15:55:56,525,561.88,PURE MILK (UNADULTERATED),55.0,6.63,93,6.5,Safe for Consumption,1.9,69.6
2026-09-01 15:55:56,475,517.89,PURE MILK (UNADULTERATED),75.0,6.69,98,6.22,Safe for Consumption,4.1,122.4
2026-09-01 15:55:57,543,577.71,ADULTERATED STARCH,85.0,6.7,0,3.2,Discard Immediately,0.0,0.0
2026-09-01 15:55:57,467,510.85,PURE MILK (UNADULTERATED),75.0,6.71,98,5.93,Safe for Consumption,4.5,132.0
2026-09-01 15:55:58,531,567.16,PURE MILK (UNADULTERATED),55.0,6.62,93,6.5,Safe for Consumption,1.6,62.4
2026-09-01 15:55:59,476,518.77,PURE MILK (UNADULTERATED),75.0,6.69,98,6.25,Safe for Consumption,4.1,122.4
2026-09-01 15:55:59,496,536.36,PURE MILK (UNADULTERATED),75.0,6.67,96,6.5,Safe for Consumption,3.2,100.8
2026-09-01 15:56:00,525,561.88,PURE MILK (UNADULTERATED),55.0,6.63,93,6.5,Safe for Consumption,1.9,69.6
2026-09-01 15:56:00,493,533.72,PURE MILK (UNADULTERATED),75.0,6.67,96,6.5,Safe for Consumption,3.3,103.2
2026-09-01 15:56:01,480,522.29,PURE MILK (UNADULTERATED),75.0,6.69,97,6.39,Safe for Consumption,3.9,117.6
2026-09-01 15:56:01,501,540.76,PURE MILK (UNADULTERATED),75.0,6.66,95,6.5,Safe for Consumption,3.0,96.0
2026-09-01 15:56:02,463,507.33,PURE MILK (UNADULTERATED),75.0,6.71,99,5.79,Safe for Consumption,4.6,134.4
2026-09-01 15:56:02,508,546.92,PURE MILK (UNADULTERATED),75.0,6.65,95,6.5,Safe for Consumption,2.7,88.8
2026-09-01 15:56:03,548,582.11,ADULTERATED STARCH,85.0,6.7,0,3.2,Discard Immediately,0.0,0.0
2026-09-01 15:56:03,482,524.05,PURE MILK (UNADULTERATED),75.0,6.68,97,6.46,Safe for Consumption,3.8,115.2
2026-09-01 15:56:04,504,543.4,PURE MILK (UNADULTERATED),75.0,6.65,95,6.5,Safe for Consumption,2.8,91.2
2026-09-01 15:56:04,499,539.0,PURE MILK (UNADULTERATED),75.0,6.66,96,6.5,Safe for Consumption,3.0,96.0
2026-09-01 15:56:05,522,559.24,PURE MILK (UNADULTERATED),75.0,6.63,94,6.5,Safe for Consumption,2.0,72.0
2026-09-01 15:56:05,451,496.77,PURE MILK (UNADULTERATED),75.0,6.71,99,5.37,Safe for Consumption,4.8,139.2
2026-09-01 15:56:06,532,568.04,PURE MILK (UNADULTERATED),55.0,6.62,93,6.5,Safe for Consumption,1.6,62.4
2026-09-01 15:56:06,482,524.05,PURE MILK (UNADULTERATED),75.0,6.68,97,6.46,Safe for Consumption,3.8,115.2
2026-09-01 15:56:07,487,528.45,PURE MILK (UNADULTERATED),75.0,6.68,97,6.5,Safe for Consumption,3.6,110.4
2026-09-01 15:56:07,543,577.71,ADULTERATED STARCH,85.0,6.7,0,3.2,Discard Immediately,0.0,0.0
2026-09-01 15:56:08,539,574.19,PURE MILK (UNADULTERATED),55.0,6.61,92,6.5,Safe for Consumption,1.3,55.2
2026-09-01 15:56:08,504,543.4,PURE MILK (UNADULTERATED),75.0,6.65,95,6.5,Safe for Consumption,2.8,91.2
2026-09-01 15:56:09,529,565.4,PURE MILK (UNADULTERATED),55.0,6.62,93,6.5,Safe for Consumption,1.7,64.8
2026-09-01 15:56:09,509,547.8,PURE MILK (UNADULTERATED),75.0,6.65,95,6.5,Safe for Consumption,2.6,86.4
2026-09-01 15:56:10,454,499.41,PURE MILK (UNADULTERATED),75.0,6.72,99,5.48,Safe for Consumption,5.0,144.0
2026-09-01 15:56:10,498,538.12,PURE MILK (UNADULTERATED),75.0,6.66,96,6.5,Safe for Consumption,3.1,98.4
2026-09-01 15:56:11,472,515.25,PURE MILK (UNADULTERATED),75.0,6.7,98,6.11,Safe for Consumption,4.2,124.8
2026-09-01 15:56:11,507,546.04,PURE MILK (UNADULTERATED),75.0,6.65,95,6.5,Safe for Consumption,2.7,88.8
2026-09-01 15:56:12,457,502.05,PURE MILK (UNADULTERATED),75.0,6.72,99,5.58,Safe for Consumption,4.9,141.6
2026-09-01 15:56:12,521,558.36,PURE MILK (UNADULTERATED),75.0,6.63,94,6.5,Safe for Consumption,2.1,74.4
2026-09-01 15:56:13,453,498.53,PURE MILK (UNADULTERATED),75.0,6.72,99,5.44,Safe for Consumption,4.9,141.6
2026-09-01 15:56:13,465,509.09,PURE MILK (UNADULTERATED),75.0,6.71,99,5.86,Safe for Consumption,4.5,132.0
2026-09-01 15:56:14,542,576.83,ADULTERATED STARCH,85.0,6.7,0,3.2,Discard Immediately,0.0,0.0
2026-09-01 15:56:14,482,524.05,PURE MILK (UNADULTERATED),75.0,6.68,97,6.46,Safe for Consumption,3.8,115.2
2026-09-01 15:56:15,499,539.0,PURE MILK (UNADULTERATED),75.0,6.66,96,6.5,Safe for Consumption,3.0,96.0
2026-09-01 15:56:15,493,533.72,PURE MILK (UNADULTERATED),75.0,6.67,96,6.5,Safe for Consumption,3.3,103.2
2026-09-01 15:56:16,526,562.76,PURE MILK (UNADULTERATED),55.0,6.63,93,6.5,Safe for Consumption,1.9,69.6
2026-09-01 15:56:17,461,505.57,PURE MILK (UNADULTERATED),75.0,6.71,99,5.72,Safe for Consumption,4.7,136.8
2026-09-01 15:56:17,528,564.52,PURE MILK (UNADULTERATED),55.0,6.62,93,6.5,Safe for Consumption,1.8,67.2
2026-09-01 15:56:18,506,545.16,PURE MILK (UNADULTERATED),75.0,6.65,95,6.5,Safe for Consumption,2.7,88.8
2026-09-01 15:56:18,454,499.41,PURE MILK (UNADULTERATED),75.0,6.72,99,5.48,Safe for Consumption,5.0,144.0
2026-09-01 15:56:19,511,549.56,PURE MILK (UNADULTERATED),75.0,6.64,95,6.5,Safe for Consumption,2.5,84.0
2026-09-01 15:56:19,499,539.0,PURE MILK (UNADULTERATED),75.0,6.66,96,6.5,Safe for Consumption,3.0,96.0
2026-09-01 15:56:20,519,556.6,PURE MILK (UNADULTERATED),75.0,6.64,94,6.5,Safe for Consumption,2.2,76.8
2026-09-01 15:56:20,488,529.33,PURE MILK (UNADULTERATED),75.0,6.67,97,6.5,Safe for Consumption,3.5,108.0
2026-09-01 15:56:21,526,562.76,PURE MILK (UNADULTERATED),55.0,6.63,93,6.5,Safe for Consumption,1.9,69.6
2026-09-01 15:56:21,455,500.29,PURE MILK (UNADULTERATED),75.0,6.72,99,5.51,Safe for Consumption,5.0,144.0
2026-09-01 15:56:22,496,536.36,PURE MILK (UNADULTERATED),75.0,6.67,96,6.5,Safe for Consumption,3.2,100.8
2026-09-01 15:56:22,501,540.76,PURE MILK (UNADULTERATED),75.0,6.66,95,6.5,Safe for Consumption,3.0,96.0
2026-09-01 15:56:23,455,500.29,PURE MILK (UNADULTERATED),75.0,6.72,99,5.51,Safe for Consumption,5.0,144.0
2026-09-01 15:56:23,515,553.08,PURE MILK (UNADULTERATED),75.0,6.64,94,6.5,Safe for Consumption,2.3,79.2
2026-09-01 15:56:24,496,536.36,PURE MILK (UNADULTERATED),75.0,6.67,96,6.5,Safe for Consumption,3.2,100.8
2026-09-01 15:56:24,548,582.11,ADULTERATED STARCH,85.0,6.7,0,3.2,Discard Immediately,0.0,0.0
2026-09-01 15:56:25,524,561.0,PURE MILK (UNADULTERATED),55.0,6.63,93,6.5,Safe for Consumption,2.0,72.0
2026-09-01 15:56:25,514,552.2,PURE MILK (UNADULTERATED),75.0,6.64,94,6.5,Safe for Consumption,2.4,81.6
2026-09-01 15:56:26,526,562.76,PURE MILK (UNADULTERATED),55.0,6.63,93,6.5,Safe for Consumption,1.9,69.6
2026-09-01 15:56:26,514,552.2,PURE MILK (UNADULTERATED),75.0,6.64,94,6.5,Safe for Consumption,2.4,81.6
2026-09-01 15:56:27,505,544.28,PURE MILK (UNADULTERATED),75.0,6.65,95,6.5,Safe for Consumption,2.8,91.2
2026-09-01 15:56:27,470,513.49,PURE MILK (UNADULTERATED),75.0,6.7,98,6.04,Safe for Consumption,4.3,127.2
